datetime,open,high,low,close,K,D,%R,%R.1
2025-07-17 10:08:00,37.7,49.0,36.65,47.55,98.30633337992292,89.14694746909011,-9.38511326860843,-8.285714285714302
2025-07-17 10:09:00,54.0,56.9,46.65,48.15,98.30633337992292,95.99038322685024,-37.878787878787875,-34.4488188976378
2025-07-17 10:10:00,48.8,52.05,45.4,45.7,92.8386507558524,96.48377250523276,-48.48484848484846,-44.09448818897637
2025-07-17 10:11:00,45.25,50.3,45.0,50.05,92.46684107897812,94.53727507158447,-29.653679653679657,-26.96850393700788
2025-07-17 10:12:00,51.75,55.05,49.4,54.4,92.46684107897812,92.59077763793624,-10.822510822510822,-9.84251968503937
2025-07-17 10:13:00,54.2,54.2,49.1,52.3,93.73226024543624,92.8886474677975,-19.91341991341992,-18.110236220472448
2025-07-17 10:14:00,51.75,62.1,51.65,56.2,93.17902827887916,93.12604320109786,-22.097378277153553,-19.281045751633982
2025-07-17 10:15:00,56.5,58.25,54.45,56.65,92.79953074749268,93.23693975726938,-21.41453831041258,-17.810457516339877
2025-07-17 10:16:00,57.35,65.0,56.7,64.4,98.69546082518217,94.891339950518,-2.1164021164020963,-1.791044776119386
2025-07-17 10:17:00,66.0,68.8,60.35,64.85,99.6205024686135,97.03849801376278,-16.5966386554622,-10.589812332439688
2025-07-17 10:18:00,65.0,66.5,62.75,65.1,100.0,99.43865443126522,-15.546218487394972,-9.919571045576417
2025-07-17 10:19:00,64.85,65.4,60.3,61.2,88.5904253734024,96.07030928067196,-31.932773109243676,-20.375335120643417
2025-07-17 10:20:00,60.5,63.75,58.45,58.7,70.63302881188748,86.4078180617633,-51.269035532994906,-27.077747989276126
2025-07-17 10:21:00,58.65,63.8,57.9,63.45,51.64555696233008,70.28967038254,-27.157360406091342,-14.34316353887398
2025-07-17 10:22:00,64.4,66.75,61.1,61.9,37.69908063806381,53.325888804093786,-40.23323615160349,-18.498659517426272
2025-07-17 10:23:00,61.6,61.95,58.5,60.5,24.59438066803591,37.979672756143266,-57.83972125435541,-22.252010723860582
2025-07-17 10:24:00,59.7,62.05,58.4,60.05,10.248519184259989,24.180660163453236,-72.31404958677689,-23.45844504021448
2025-07-17 10:25:00,60.25,60.6,56.4,57.95,2.271236801790541,12.37137888469548,-87.49999999999997,-29.088471849865943
2025-07-17 10:26:00,58.0,58.95,55.35,56.0,4.736951571734001e-15,4.173251995350179,-94.2982456140351,-34.82993197278911
2025-07-17 10:27:00,55.85,60.95,55.85,58.95,6.007319275308714,2.75951869236642,-68.42105263157893,-27.9432624113475
2025-07-17 10:28:00,59.35,62.15,59.0,60.55,15.060447630979462,7.0225889687627285,-54.38596491228073,-23.571428571428573
2025-07-17 10:29:00,61.75,64.5,59.0,62.6,27.860180843643963,16.30931591664405,-36.40350877192982,-17.7142857142857
2025-07-17 10:30:00,61.55,71.0,61.15,70.0,45.618887925939255,29.513172133520897,-6.389776357827476,-2.6881720430107525
2025-07-17 10:31:00,68.85,69.35,65.85,66.8,51.385716970067485,41.621595246550235,-26.83706070287542,-11.290322580645167
2025-07-17 10:32:00,66.05,66.8,61.6,62.6,44.845093687862494,47.28323286128975,-53.6741214057508,-22.580645161290317
2025-07-17 10:33:00,61.9,62.2,58.1,58.7,21.079067330258493,39.103292662729494,-78.59424920127795,-34.5505617977528
2025-07-17 10:34:00,58.3,62.3,58.0,61.7,12.680705206764634,26.201622074961875,-59.42492012779552,-27.074235807860255
2025-07-17 10:35:00,61.95,63.8,60.15,63.8,17.09261514051666,16.95079589251326,-47.524752475247546,-20.960698689956335
2025-07-17 10:36:00,63.35,64.15,61.2,61.4,21.33730940641134,17.03687658456421,-73.84615384615385,-36.92307692307693
