time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry1,Entry2,EMA 15,Armed,K,D,%R,%R
1753072080,153,153,145.95,148,NaN,125.38455559506329,126.13350673789557,NaN,0,0,128.80514625130553,0,59.95532887352592,75.38227288359431,-29.333333333333332,-11.976047904191617
1753072140,148.5,150.75,143.15,143.15,NaN,126.92764447605063,126.13350673789557,NaN,0,0,130.59825296989234,0,47.523848247559435,61.95222372236492,-42.26666666666665,-17.256396298312463
1753072200,141.65,148,141.65,143.55,NaN,128.91211558084052,126.13350673789557,NaN,0,0,132.2172213486558,0,23.983204266131782,43.82079379573904,-42.73858921161822,-16.82090364725094
1753072260,142.1,146.15,138.1,143.8,NaN,129.4796924646724,126.13350673789557,NaN,0,0,133.66506868007383,0,9.665845506000691,27.057632673230632,-43.366619115549184,-16.730875068794706
1753072320,143.45,149.7,141.5,149.7,NaN,129.84375397173793,126.13350673789557,NaN,0,0,135.6694350950646,0,7.062599896081664,13.57054988940471,-28.396946564885532,-10.36789297658864
1753072380,149,149.35,144.5,148.8,NaN,131.93500317739034,126.13350673789557,NaN,0,0,137.31075570818155,0,10.971954504519749,9.23346663553403,-48.8038277511961,-11.663807890222971
1753072440,148.35,149.8,146.5,149.25,NaN,134.74800254191229,126.13350673789557,NaN,0,0,138.80316124465884,0,15.095463146331364,11.043339182310923,-38.567493112947645,-11.149228130360205
1753072500,149.4,151.9,142.85,147.9,NaN,134.74800254191229,126.13350673789557,NaN,0,0,139.9402660890765,0,10.614044522930033,12.227154057927047,-41.49253731343277,-12.692967409948537
1753072560,147.35,150.3,144.3,150.3,NaN,134.74800254191229,126.13350673789557,NaN,0,0,141.23523282794193,0,10.706692541814348,12.138733403691914,-18.120805369127435,-9.948542024013708
1753072620,150,151,148.75,149.55,NaN,137.36497730145908,128.49924325541653,NaN,0,0,142.27457872444919,0,8.473172231094189,9.931303098612855,-17.028985507246322,-11.385542168674686
1753072680,149.1,152.95,148.7,150,NaN,138.52198184116727,130.31181892987487,NaN,0,0,143.24025638389304,0,9.897880970256407,9.692581914388313,-19.865319865319798,-11.703511053315994
1753072740,149.4,163,149.4,159.8,NaN,138.52198184116727,133.65813703688738,NaN,0,0,145.3102243359064,0,34.250778666551476,17.540610622634023,-12.851405622489912,-3.9800995024875476
1753072800,159.65,170.8,158.4,165,NaN,139.91006837834703,140.5923233331987,NaN,0,0,147.7714462939181,0,65.10031426807457,36.41632463496082,-19.795221843003443,-6.7677946324387515
1753072860,165.9,172.9,163.95,172.35,NaN,146.90805470267762,144.1330909998788,NaN,0,0,150.84376550717835,0,95.37775465695165,64.90961586385923,-1.8302828618968758,-0.6285714285714415
1753072920,172.95,172.95,166,167.4,NaN,147.8264437621421,145.5272818998909,NaN,0,0,152.91329481878105,0,83.11291308437531,81.19699400313384,-18.438538205980013,-6.339234723015402
1753072980,166.35,167.55,156.85,156.85,NaN,147.8264437621421,145.5272818998909,NaN,0,0,153.40538296643342,0,49.77957975104198,76.09008249745631,-53.48837209302325,-20.20075282308657
1753073040,156.9,156.9,152.25,154.15,NaN,148.72892400777093,145.5272818998909,NaN,0,0,153.49846009562924,0,16.446246417708647,49.77957975104198,-65.61954624781849,-24.226804123711318
1753073100,154.3,157.9,150,150.3,NaN,148.72892400777093,145.5272818998909,NaN,0,0,153.09865258367557,0,-2.3684757858670005e-15,22.07527538958354,-93.40206185567001,-36.03818615751787
1753073160,150.2,153.35,146.05,153.35,NaN,NaN,145.5272818998909,NaN,0,0,153.13007101071614,0,3.067088169704975,6.504444862471207,-72.86245353159856,-36.87676387582314
1753073220,153.3,157.4,152.7,152.7,NaN,NaN,145.5272818998909,NaN,0,0,153.07631213437662,0,5.246037923654129,2.771042031119696,-75.278810408922,-39.358600583090386
1753073280,153,154.05,149.65,150.45,NaN,NaN,145.5272818998909,NaN,0,0,152.74802311757955,0,5.246037923654129,4.519721339004406,-83.64312267657999,-43.73177842565599
1753073340,151.2,159.15,150.75,156,NaN,NaN,145.5272818998909,NaN,0,0,153.1545202278821,0,8.09984434648934,6.197306731265861,-63.011152416356886,-33.8323353293413
1753073400,154.6,154.65,150.45,153.5,NaN,NaN,145.5272818998909,NaN,0,0,153.19770519939684,0,8.302894595857152,7.216258955333537,-72.30483271375466,-39.6938775510204
1753073460,152.9,156.4,152.9,153.05,NaN,NaN,145.5272818998909,NaN,0,0,153.17924204947224,0,10.034339485322624,8.812359475889702,-67.44186046511628,-42.6124197002141
1753073520,152.4,153.9,146.5,147.9,NaN,NaN,145.5272818998909,NaN,0,0,152.5193367932882,0,4.113444892782439,7.483559657987402,-85.87786259541988,-71.87948350071731
1753073580,146.5,151.45,146.5,149.15,NaN,NaN,145.5272818998909,NaN,0,0,152.0981696941272,0,3.1363411258051284,5.761375167970059,-76.33587786259545,-68.29268292682923
1753073640,148.25,149.15,142.15,144.2,NaN,NaN,NaN,165.7778272580099,0,0,151.11089848236128,0,1.404896236339656,2.8848940849757363,-87.94117647058835,-82.49641319942613
1753073700,143.15,152.5,143.15,152.5,NaN,NaN,NaN,165.7778272580099,0,0,151.2845361720661,0,11.380938013910283,5.307391792018356,-39.117647058823565,-58.68005738880916
1753073760,152.45,153.7,149.85,152.95,NaN,NaN,NaN,165.7778272580099,1,0,151.49271915055783,1,28.70472392588485,13.830186058711597,-36.470588235294215,-57.38880918220948
1753073820,152.3,154.4,151.45,152.75,142.15,NaN,NaN,165.7778272580099,0,0,151.6498792567381,0,50.56074456029344,30.21546883336286,-37.64705882352945,-57.96269727403154
1753073880,152,152,146.25,149.6,142.15,NaN,NaN,165.7778272580099,0,0,151.39364434964585,0,52.78275231097263,44.01607359905031,-47.71929824561411,-67.00143472022955
1753073940,148.7,154.5,148.2,151.65,142.15,NaN,NaN,165.7778272580099,0,0,151.42568880594013,0,52.04269955031913,51.79539880719508,-33.333333333333336,-67.72655007949122
1753074000,151.55,156.6,151.55,156.6,NaN,145.20263127305586,NaN,165.7778272580099,0,0,152.0724777051976,0,61.17262845464128,55.33269343864435,0,-53.0844155844156
1753074060,156.75,161.8,155.2,161.8,NaN,150.3061050184447,NaN,165.7778272580099,0,0,153.2884179920479,0,82.30791225972479,65.17441342156174,0,-36.20129870129865
1753074120,161.65,162.75,158.45,162.3,NaN,151.55688401475575,NaN,165.7778272580099,0,0,154.4148657430419,0,97.65261620539741,80.37771897325449,-2.184466019417421,-34.577922077922025
1753074180,162.5,163.25,159.35,161.3,NaN,152.3015072118046,NaN,165.7778272580099,0,0,155.27550752516166,0,97.10679995515765,92.35577614009328,-9.70149253731338,-37.82467532467527
1753074240,161.15,161.15,155.85,158.5,NaN,152.33920576944368,NaN,165.7778272580099,0,0,155.67856908451645,0,86.20343254645309,93.65428290233605,-27.941176470588236,-46.915584415584405
1753074300,158,161.25,157.65,160.95,NaN,153.03536461555495,NaN,165.7778272580099,0,0,156.3374979489519,0,80.27174443401522,87.86065897854199,-13.52941176470595,-38.96103896103898
1753074360,160.75,160.75,154.4,155.9,NaN,153.03536461555495,NaN,165.7778272580099,0,0,156.2828107053329,0,63.44058109484053,76.63858602510295,-43.23529411764702,-55.357142857142826
1753074420,156.3,159.9,155,155,NaN,153.03536461555495,NaN,165.7778272580099,0,0,156.1224593671663,0,52.30729200757807,65.33987251214461,-54.81727574750826,-58.27922077922077
1753074480,153.8,153.8,148.35,152.3,NaN,NaN,NaN,165.7778272580099,0,0,155.64465194627053,0,24.90564678668261,46.88450662970041,-73.48993288590593,-67.0454545454545
