time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,Entry Signal,K,D,%R,%R
1752554580,115.05,119.7,113.7,118.8,NaN,NaN,NaN,NaN,132.6116072328414,0,0,121.32854016849696,0,13.598269959481206,8.068431055637262,-55.45851528384286,-83.91167192429025
1752554640,118.85,118.95,116,116.65,NaN,NaN,NaN,NaN,132.6116072328414,0,0,120.74372264743484,0,21.051932013796996,11.87701773035586,-71.078431372549,-86.40552995391704
1752554700,116.4,116.7,113.5,115.9,NaN,NaN,NaN,NaN,129.74490185860154,0,0,120.13825731650549,0,28.16107693551456,20.937092969597586,-75.99999999999994,-88.94009216589858
1752554760,115.55,118.5,115,117.45,NaN,NaN,NaN,NaN,129.74490185860154,0,0,119.80222515194231,0,33.413084003037916,27.54203098411649,-60.49999999999998,-81.79723502304145
1752554820,117.55,120.4,115.45,118.25,NaN,NaN,NaN,NaN,129.74490185860154,1,0,119.60819700794951,0,51.75446236575954,37.77620776810401,-52.5,-78.110599078341
1752554880,118.15,125.1,118.15,123.05,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,120.03842238195583,0,77.97865077737531,54.38206571539092,-17.672413793103434,-55.990783410138235
1752554940,123.05,123.9,120.95,123.2,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,120.43361958421134,0,93.44255830149348,74.39189048154277,-16.37931034482752,-55.299539170506876
1752555000,123.85,124.5,121.6,122,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,120.62941713618493,0,95.06189611026764,88.82770172971215,-26.72413793103445,-60.82949308755758
1752555060,122.05,127.65,121.2,126.35,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,121.3444899941618,0,95.06189611026764,94.52211684067625,-9.187279151943539,-40.78341013824884
1752555120,126.3,128.9,125.6,128.25,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,122.20767874489158,0,95.06189611026764,95.06189611026764,-4.2207792207792565,-32.02764976958522
1752555180,127.85,128.3,125.3,126.95,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,122.80046890178014,0,96.0545598573097,95.39278402594833,-12.662337662337675,-36.10451306413304
1752555240,126.25,129.85,125.4,128.5,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,123.51291028905761,0,95.68519965766166,95.60055187507966,-9.090909090909056,-28.741092636579612
1752555300,128.5,129.1,124.4,125.35,111.15499999999999,NaN,130.25,NaN,129.74490185860154,0,0,123.7425465029254,0,85.76076467065214,92.50017472854115,-31.250000000000018,-43.70546318289792
