time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,EMA,Up Trend,Down Trend,K,D,%R,%R.1,datetime
1750824900,25188.25,25197.55,25188.0,25195.15,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25179.846890407152,25163.47774982036,,66.3584370545028,61.88336713309576,-7.868852459009236,-4.938271604933928,2025-06-25 09:45:00
1750824960,25193.55,25198.15,25193.25,25194.35,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25181.65977910626,25167.862474838323,,78.04464384601502,67.42212901519282,-12.218649517693388,-7.723577235778159,2025-06-25 09:46:00
1750825020,25194.1,25195.8,25189.7,25194.3,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25183.23980671798,25167.862474838323,,87.34327147249111,77.2487841243363,-12.379421221871102,-7.825203252036841,2025-06-25 09:47:00
1750825080,25194.85,25196.9,25192.25,25196.0,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25184.83483087823,25168.98460461904,,90.6641009140294,85.35067207751183,-6.913183279746959,-4.369918699189885,2025-06-25 09:48:00
1750825140,25196.55,25200.45,25178.75,25181.85,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25184.46172701845,25168.98460461904,,61.25888818915859,79.75542019189302,-85.7142857142929,-36.11650485437317,2025-06-25 09:49:00
1750825200,25180.9,25183.9,25179.45,25183.45,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25184.335261141143,25168.98460461904,,34.51125305804565,62.14474738707787,-78.34101382488217,-33.00970873786408,2025-06-25 09:50:00
1750825260,25183.9,25196.15,25183.8,25196.15,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25185.8121034985,25168.98460461904,,23.554029848745824,39.774723698650014,-19.81566820276096,-8.349514563105384,2025-06-25 09:51:00
1750825320,25195.2,25196.25,25190.3,25193.55,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25186.77934056119,25168.98460461904,,38.787248791386425,32.28417723272596,-31.797235023047115,-15.01632208923035,2025-06-25 09:52:00
1750825380,25193.75,25194.8,25190.15,25191.7,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25187.39442299104,25168.98460461904,,47.299533863391936,36.54693750117472,-40.32258064515994,-19.358407079645705,2025-06-25 09:53:00
1750825440,25191.85,25192.1,25184.35,25187.4,25120.583333333332,25082.466666666664,25158.7,25241.466666666664,25438.583333333332,25559.466666666664,25756.583333333332,24923.466666666664,24802.583333333332,24605.466666666664,24484.583333333332,25317.7,24999.7,25187.39512011716,25168.98460461904,,27.52077510196851,37.86918591891561,-60.1382488479209,-28.871681415927128,2025-06-25 09:54:00
