time,open,high,low,close,Stop Loss,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,Trigger,K,D,%R,%R
1752740820,55.3,55.75,54.9,55.7,NaN,NaN,NaN,57.500337966611326,0,0,56.525836193165475,0,35.338668943537876,32.21759199885362,-51.58730158730155,-57.931034482758555
1752740880,55.5,55.75,55.1,55.2,NaN,NaN,NaN,57.500337966611326,0,0,56.36010666901979,0,33.701252035924455,34.861698852425384,-59.52380952380948,-64.82758620689648
1752740940,55.45,55.85,55.05,55.85,NaN,NaN,NaN,57.500337966611326,0,0,56.29634333539232,0,39.070551443249904,36.03682414090408,-46.21848739495796,-55.8620689655172
1752741000,55.65,55.8,54.55,54.85,NaN,NaN,NaN,57.500337966611326,0,0,56.11555041846828,0,36.39857925713886,36.39012757877108,-53.68421052631573,-69.65517241379307
1752741060,55.2,56.1,54.9,55.75,NaN,NaN,NaN,57.500337966611326,0,0,56.06985661615975,0,45.50787362609782,40.325668108828864,-17.333333333333297,-55.7142857142857
1752741120,55.55,56.05,55.15,55.15,NaN,NaN,NaN,57.500337966611326,0,0,55.95487453913978,0,47.06459592511462,42.990349602783766,-47.16981132075474,-64.28571428571429
1752741180,55.55,56.5,55.4,56.5,NaN,NaN,NaN,57.500337966611326,1,0,56.02301522174731,1,64.94848815741135,52.50698590287459,0,-44.999999999999986
1752741240,56.25,57.95,56.25,57.5,49.72,68.5,NaN,57.500337966611326,0,0,56.207638319028895,0,78.37521629112474,63.4627667912169,-13.23529411764712,-30.714285714285694
1752741300,57.8,57.8,56.55,56.55,49.72,68.5,NaN,57.500337966611326,0,0,56.250433529150285,0,88.71824861105829,77.34731768653147,-41.17647058823539,-44.2857142857143
1752741360,56.55,57.4,56.55,56.7,49.72,68.5,NaN,57.500337966611326,0,0,56.3066293380065,0,88.39049069527296,85.16131853248534,-36.76470588235288,-42.142857142857075
1752741420,56.7,57.4,56.7,57.3,49.72,68.5,NaN,57.500337966611326,0,0,56.43080067075569,0,86.0195080341283,87.70941578015318,-19.117647058823664,-33.57142857142859
1752741480,57.2,58,56.9,58,54.015764981473275,68.5,54.015764981473275,NaN,0,0,56.62695058691123,0,92.30754323858116,88.9058473226608,0,-23.57142857142855
1752741540,58.35,58.5,57.2,57.45,54.36918848332595,68.5,54.36918848332595,NaN,0,0,56.729831763547324,0,91.75243599158817,90.02649575476589,-29.166666666666575,-31.428571428571367
1752741600,57.5,58.45,57.5,58.45,54.54226963499335,68.5,54.54226963499335,NaN,0,0,56.944852793103905,0,94.12341865273284,92.72779929430072,-1.4925373134327504,-17.142857142857082
1752741660,58.35,63.15,58.25,63.15,56.14054267149402,68.5,56.14054267149402,NaN,0,0,57.720496193965914,0,94.12341865273284,93.33309109901795,0,0
1752741720,63.15,64.75,62.45,63.4,58.80648840434462,68.5,58.80648840434462,NaN,0,0,58.43043416972017,0,100,96.08227910182188,-15.882352941176487,-11.157024793388441
1752741780,62.95,63.1,60.55,61.4,58.80648840434462,68.5,58.80648840434462,NaN,0,0,58.80162989850515,0,89.8775646731774,94.66699444197009,-40.853658536585364,-27.685950413223146
1752741840,61.45,61.9,60.75,61.8,58.80648840434462,68.5,58.80648840434462,NaN,0,0,59.176426161192005,0,79.99418415155026,89.95724960824255,-35.97560975609758,-24.38016528925622
1752741900,62.5,62.7,61.15,62.25,58.80648840434462,68.5,58.80648840434462,NaN,0,0,59.560622891043,0,71.46197322577495,80.44457401683421,-31.055900621118024,-20.661157024793386
1752741960,62.25,63.6,62.05,63.5,58.80648840434462,68.5,58.80648840434462,NaN,0,0,60.05304502966263,0,74.93624001933134,75.4641324655522,-15.923566878980889,-10.330578512396693
1752742020,63.4,66.15,63.25,64.85,59.39185883788145,68.5,59.39185883788145,NaN,0,0,60.6526644009548,0,82.664900427131,76.3543712240791,-14.525139664804591,-9.629629629629708
1752742080,64.8,65.95,64.65,65.25,60.132672954093316,68.5,60.132672954093316,NaN,0,0,61.22733135083545,0,90.29755181026934,82.63289741891056,-10.404624277456707,-6.666666666666705
1752742140,66.8,67.75,65.25,65.55,61.09940565868398,68.5,61.09940565868398,NaN,0,0,61.76766493198102,0,96.94572034353554,89.96939086031198,-23.157894736842135,-14.569536423841077
1752742200,65.3,67.35,65.05,66.75,61.09940565868398,68.5,61.09940565868398,NaN,0,0,62.39045681548339,0,99.10044045736304,95.44790420372264,-13.888888888888884,-6.62251655629139
1752742260,67.1,67.15,64.9,65.55,61.09940565868398,68.5,61.09940565868398,NaN,0,0,62.78539971354797,0,89.48448150621091,95.17688076903649,-30.555555555555582,-15.714285714285735
1752742320,65.7,66.1,64.7,65.4,61.09940565868398,68.5,61.09940565868398,NaN,0,0,63.112224749354475,0,77.69766918729009,88.76086371695469,-33.57142857142849,-17.803030303030255
1752742380,65.1,65.5,62.95,62.95,61.09940565868398,68.5,61.09940565868398,NaN,0,0,63.09194665568516,0,44.36433585395675,70.51549551581927,-72.72727272727266,-36.36363636363633
1752742440,63.2,64.45,63.2,64.15,61.09940565868398,68.5,61.09940565868398,NaN,0,0,63.22420332372452,0,27.92949775169483,49.997167597647234,-63.157894736841975,-27.272727272727224
1752742500,64.15,65.05,63.65,64.75,61.09940565868398,68.5,61.09940565868398,NaN,0,0,63.41492790825895,0,15.774738177177673,29.356190594276423,-62.500000000000036,-22.727272727272723
1752742560,64.55,65.4,64.55,64.6,61.09940565868398,68.5,61.09940565868398,NaN,0,0,63.563061919726586,0,23.953292716246036,22.552509548372843,-65.62500000000016,-23.863636363636402
1752742620,64.65,65.15,63.5,64.35,61.09940565868398,68.5,61.09940565868398,NaN,0,0,63.66142917976076,0,23.640498528558407,21.122843140660702,-70.8333333333335,-25.757575757575793
1752742680,64.45,66.7,64.45,66.65,61.09940565868398,68.5,61.09940565868398,NaN,0,0,64.03500053229067,0,31.973870938426785,26.522554061077074,-15.909090909090681,-8.560311284046648
1752742740,66.65,69.9,66.15,69.9,NaN,NaN,62.08897912229705,NaN,0,0,64.76812546575434,0,53.26802761745307,36.29413236147942,0,0
1752742800,69.95,72.3,69.95,71,NaN,NaN,65.06258121006734,NaN,0,0,65.54710978253505,0,79.84438350762039,55.02876068783342,-13.903743315507999,-7.6923076923076765
1752742860,71,72.1,69,72,NaN,NaN,65.06258121006734,NaN,0,0,66.35372105971817,0,95.45258299119,76.18833137208782,-3.208556149732592,-1.8691588785046556
1752742920,72.7,72.7,70.15,70.2,NaN,NaN,65.06258121006734,NaN,0,0,66.8345059272534,0,85.84734633083623,87.04810427654888,-26.31578947368421,-15.479876160990706
1752742980,70.65,71.15,67.4,69.2,NaN,NaN,65.06258121006734,NaN,0,0,67.13019268634673,0,66.33431308526765,82.54474746909796,-38.043478260869556,-21.671826625386988
1752743040,69.15,69.6,68.5,68.5,NaN,NaN,65.06258121006734,NaN,0,0,67.30141860055339,0,41.580978855333505,64.58754609047914,-45.6521739130435,-26.250000000000018
1752743100,68.1,69.55,68.1,68.75,NaN,NaN,65.06258121006734,NaN,0,0,67.48249127548422,0,31.33978085327713,46.41835759795942,-42.93478260869567,-25.00000000000001
1752743160,68.35,68.35,66.3,67.15,NaN,NaN,65.06258121006734,NaN,0,0,67.44092986604869,0,18.206275659083694,30.37567845589811,-67.27272727272725,-35.80645161290321
1752743220,67.15,67.5,66.25,67.05,NaN,NaN,65.06258121006734,NaN,0,0,67.3920636327926,0,9.6262765556845,19.72411102268177,-86.25954198473295,-37.17105263157898
1752743280,67.1,67.2,65.2,65.35,NaN,NaN,65.06258121006734,NaN,0,0,67.13680567869352,0,-9.473903143468002e-15,9.277517404922728,-98.00000000000013,-50.86505190311424
1752743340,65.05,66.85,64.4,66.45,NaN,NaN,65.06258121006734,NaN,0,0,67.05095496885683,0,4.471676998505243,4.699317851396578,-75.30120481927713,-51.440329218106974
1752743400,66.45,68.5,66.45,67.4,NaN,NaN,65.06258121006734,NaN,0,0,67.09458559774973,0,12.55627367806568,5.67598355885697,-63.85542168674698,-43.6213991769547
1752743460,67.5,69.35,67.5,68.35,NaN,NaN,65.06258121006734,NaN,0,0,67.25151239803101,0,24.05304604878346,13.693665575118127,-41.48148148148165,-36.401673640167424
1752743520,68,69.8,68,69.15,NaN,NaN,65.06258121006734,NaN,0,0,67.48882334827714,0,33.816763047109106,23.475360924652747,-12.037037037036898,-30.7359307359307
1752743580,69.2,70.2,68.2,68.2,NaN,NaN,65.06258121006734,NaN,0,0,67.5777204297425,0,35.196554111723806,31.022121069205458,-34.48275862068967,-42.25352112676054
1752743640,67.8,69.05,67.4,67.65,NaN,NaN,65.06258121006734,NaN,0,0,67.58675537602468,0,30.492832822051867,33.168716660294926,-43.96551724137928,-51.79487179487177
1752743700,67.9,68.9,67.9,68.8,NaN,NaN,65.06258121006734,NaN,0,0,67.7384109540216,0,32.35664364635547,32.682010193377046,-24.137931034482868,-40.00000000000006
1752743760,68.7,70.35,68.15,69.8,NaN,NaN,65.06258121006734,NaN,0,0,67.9961095847689,0,49.942515265327394,37.59733057791158,-9.243697478991567,-29.7435897435898
1752743820,70.05,71.55,70.05,71.45,NaN,NaN,65.06258121006734,NaN,0,0,68.42784588667278,0,76.48279751761488,52.927318809765914,-1.3986013986013208,-12.820512820512821
1752743880,71.8,73.6,70.2,72.75,NaN,NaN,65.64523405924089,NaN,0,0,68.96811515083868,0,93.71692602981373,73.38074627091866,-11.888111888111823,-7.981220657276948
1752743940,73.3,74.65,72.7,73.85,NaN,NaN,67.46071065331681,NaN,0,0,69.57835075698385,0,100,90.06657451580953,-11.034482758620847,-6.837606837606933
1752744000,74.1,74.45,72.75,73.15,NaN,NaN,67.4971395879851,NaN,0,0,70.02480691236087,0,94.8756122542946,96.19751276136945,-20.689655172413794,-12.820512820512818
1752744060,72.7,77.65,72.7,74.8,NaN,NaN,68.19742562918661,NaN,0,0,70.62170604831576,0,94.8756122542946,96.58374150286306,-27.80487804878057,-19.723183391003516
1752744120,74.5,76.2,73.75,74.5,NaN,NaN,68.19742562918661,NaN,0,0,71.10649279227628,0,92.2118613529064,93.9876952871652,-30.731707317073226,-22.26148409893996
1752744180,74.95,75.5,74.1,75,NaN,NaN,68.19742562918661,NaN,0,0,71.59318119324175,0,96.58229678219186,94.55659012979761,-27.17948717948724,-18.727915194346323
1752744240,74.85,76,72.2,72.55,NaN,NaN,68.19742562918661,NaN,0,0,71.71278354408653,0,73.07884512065822,87.29100108525216,-53.68421052631588,-36.04240282685517
1752744300,71.5,73.7,71.5,72.3,NaN,NaN,68.19742562918661,NaN,0,0,71.78618560107572,0,50.17230168086922,73.27781452790644,-70.3947368421053,-40.37735849056611
1752744360,72.2,73.3,71.75,72,NaN,NaN,68.19742562918661,NaN,0,0,71.81291240094126,0,22.787708536992636,48.67961844617336,-75.83892617449669,-42.641509433962305
1752744420,72.25,72.75,68.5,69.2,NaN,NaN,68.19742562918661,NaN,0,0,71.4862983508236,0,12.95782686519294,28.639279027684935,-92.34972677595626,-63.77358490566039
1752744480,69.3,71.1,68.1,70.85,NaN,NaN,68.19742562918661,NaN,0,0,71.40676105697065,0,12.709324121529539,16.15161984123837,-71.20418848167543,-51.32075471698122
1752744540,72.05,73.25,71.4,72.75,NaN,NaN,68.19742562918661,NaN,0,0,71.57466592484931,0,22.45781364872614,16.041654878482873,-51.308900523560204,-36.98113207547174
1752744600,71.95,72.95,70.85,72.05,NaN,NaN,68.19742562918661,NaN,0,0,71.63408268424315,0,33.99690449570701,23.05468075532089,-51.234567901234584,-42.264150943396295
1752744660,72.15,73.4,71.35,72.7,NaN,NaN,68.19742562918661,NaN,0,0,71.76732234871275,0,40.56316197237458,32.339293372269246,-41.77215189873411,-37.35849056603776
1752744720,73.35,73.8,72.55,73.8,NaN,NaN,68.19742562918661,NaN,0,0,72.02140705512366,0,43.835214893757296,39.46509378727963,-27.8481012658228,-29.05660377358497
1752744780,73.85,73.85,71.25,72.25,NaN,NaN,68.19742562918661,NaN,0,0,72.0499811732332,0,42.597074094047635,42.3318169867265,-27.82608695652164,-40.75471698113212
1752744840,72.15,72.45,71.3,71.55,NaN,NaN,68.19742562918661,NaN,0,0,71.98748352657906,0,35.48885311749958,40.64038070176817,-39.99999999999995,-46.03773584905667
1752744900,71.8,71.8,70.3,71,NaN,NaN,68.19742562918661,NaN,0,0,71.86404808575668,0,21.720250494062473,33.26872590186989,-49.56521739130425,-50.18867924528306
1752744960,71.4,71.6,70.65,70.65,NaN,NaN,68.19742562918661,NaN,0,0,71.7122920750371,0,14.167400589427382,23.79216806699648,-55.65217391304328,-52.83018867924528
1752745020,70.7,70.7,69.55,70.05,NaN,NaN,68.19742562918661,NaN,0,0,71.50450556565747,0,7.194827840815147,14.360826308101664,-88.3720930232558,-67.85714285714292
1752745080,69.85,70.4,68.55,68.55,NaN,NaN,68.19742562918661,NaN,0,0,71.13519236995029,0,2.748100142636122,8.036776190959548,-100.00000000000001,-88.78048780487813
1752745140,68.75,69.4,67.95,67.95,NaN,NaN,NaN,74.34355237776349,0,0,70.7370433237065,0,6.5133084111342514e-15,3.3143093278170905,-99.99999999999999,-94.63414634146343
1752745200,67.65,69.35,67.65,69.3,NaN,NaN,NaN,74.11169713998713,0,0,70.5574129082432,0,9.384180597113234,4.044093579916455,-73.38709677419364,-81.46341463414643
1752745260,69.25,69.7,68.55,69.7,NaN,NaN,NaN,74.11169713998713,0,0,70.4502362947128,0,21.404567296362547,10.26291596449193,-66.93548387096773,-77.56097560975611
1752745320,69.55,70.7,69.55,69.8,NaN,NaN,NaN,74.11169713998713,0,0,70.36895675787369,0,34.108837469046655,21.632528454174146,-55.208333333333485,-78.50000000000009
1752745380,69.8,70.25,68.75,69.05,NaN,NaN,NaN,74.11169713998713,0,0,70.20408716313948,0,32.72854442221965,29.41398306254295,-66.26506024096399,-86.00000000000009
1752745440,68.85,69.45,68.35,68.8,NaN,NaN,NaN,73.84778949354556,0,0,70.02857626774704,0,27.1566957484725,31.33135921324627,-70.88607594936722,-88.50000000000009
1752745500,68.7,69.45,67,67.85,NaN,NaN,NaN,73.413010544191,0,0,69.75625423427866,0,15.15342099687549,25.012887055855884,-77.0270270270272,-92.01877934272306
1752745560,68,69.2,67.9,69.2,NaN,NaN,NaN,73.413010544191,0,0,69.68672245499383,0,23.06099912860022,21.79037195798274,-40.54054054054051,-79.34272300469482
1752745620,69.05,69.75,68.85,69.5,NaN,NaN,NaN,73.413010544191,0,0,69.6633821481196,0,39.524043598460615,25.912821241312106,-32.432432432432485,-76.52582159624414
1752745680,69.5,69.75,69.05,69.1,NaN,NaN,NaN,73.413010544191,0,0,69.59295937960465,0,60.47160314218083,41.018881956413885,-43.24324324324344,-80.28169014084513
1752745740,69.1,69.75,68.8,69.2,NaN,NaN,NaN,73.413010544191,0,0,69.54383945715406,0,71.11130170147001,57.035649480703825,-40.54054054054051,-76.08695652173911
1752745800,69.3,70.25,69.25,70.05,NaN,NaN,NaN,73.413010544191,0,0,69.6071095250098,0,81.53305253944079,71.03865246103055,-17.567567567567707,-66.11111111111114
1752745860,70,71.5,69.7,71.45,NaN,NaN,NaN,73.413010544191,0,0,69.83747083438358,0,93.2178309079668,81.95406171629254,-1.1111111111110479,-50.55555555555552
1752745920,71.35,71.85,70.35,70.35,NaN,NaN,NaN,73.413010544191,0,0,69.90153698008564,0,89.57025374599029,88.10704573113263,-30.927835051546428,-51.09489051094895
1752745980,70.3,71.55,70.25,71.55,NaN,NaN,NaN,73.413010544191,1,0,70.10759485757494,1,88.4582836665938,90.4154561068503,-6.185567010309227,-33.57664233576641
1752746040,71.55,73.15,71.55,72.8,NaN,NaN,NaN,73.413010544191,0,0,70.44414550037807,0,88.4582836665938,88.82894035972596,-6.6666666666668295,-15.328467153284643
1752746100,73.05,73.5,72.1,73.5,NaN,NaN,68.42976974748412,NaN,0,0,70.8261273128308,0,98.88802992060351,91.93486575126371,0,-5.109489051094812
1752746160,73.6,73.8,73.4,73.4,NaN,NaN,69.54679277273571,NaN,0,0,71.14786139872696,0,99.19474916291885,95.51368758337206,-7.9999999999998295,-6.56934306569327
1752746220,73.35,73.4,72.6,73.25,NaN,NaN,69.54679277273571,NaN,0,0,71.41062872388609,0,97.11766080388982,98.4001466291374,-10.999999999999943,-8.759124087591164
1752746280,73.3,73.9,73.25,73.8,NaN,NaN,69.88090214591593,NaN,0,0,71.70930013340033,0,97.1176608038898,97.81002359023283,-2.1505376344087828,-1.449275362318963
1752746340,73.9,75.9,73.55,74.6,NaN,NaN,70.69531193132433,NaN,0,0,72.07063761672529,0,97.92291164097098,97.38607774958354,-20.967741935484046,-14.606741573033826
1752810300,75,80,68.85,71.15,NaN,NaN,70.69531193132433,NaN,0,0,71.95555791463462,0,71.26589643456738,88.76882295980938,-79.37219730941695,-68.07692307692304
1752810360,72.45,76.8,72.05,76.6,NaN,NaN,70.69531193132433,NaN,0,0,72.5361131753053,0,68.5435788113475,79.24412896229529,-30.49327354260093,-26.153846153846196
1752810420,76.1,82.4,75.3,79.1,NaN,NaN,70.69531193132433,NaN,0,0,73.35659902839214,0,68.5435788113475,69.45101801908747,-24.354243542435487,-21.428571428571495
1752810480,78.9,81.1,76.5,78,NaN,NaN,70.69531193132433,NaN,0,0,73.93702414984313,0,90.55961639945679,75.88225800738392,-32.47232472324725,-28.571428571428598
1752810540,77.75,80.6,77.1,79.85,NaN,NaN,70.69531193132433,NaN,0,0,74.67614613111273,0,92.07593292110744,83.72637604397057,-18.819188191881988,-16.558441558441626
1752810600,79.65,81,77,78.2,NaN,NaN,70.69531193132433,NaN,0,0,75.11662786472364,0,81.29011927564544,87.97522286540323,-30.996309963099627,-27.27272727272728
1752810660,77.65,82.5,76.75,79.6,NaN,NaN,70.69531193132433,NaN,0,0,75.67704938163318,0,81.62738990159879,84.9978140327839,-21.245421245421277,-18.709677419354875
1752810720,79.75,80.8,78.15,79.8,NaN,NaN,70.69531193132433,NaN,0,0,76.19241820892904,0,77.07510324908621,79.99753747544348,-19.78021978021979,-17.419354838709697
1752810780,80.05,81.6,79.35,79.55,NaN,NaN,70.69531193132433,NaN,0,0,76.61211593281291,0,80.52695551761046,79.74314955609849,-21.611721611721624,-19.032258064516146
1752810840,79.6,83,79.6,81.5,NaN,NaN,71.16590071646958,NaN,0,0,77.2231014412113,0,85.86549816261349,81.15585230977007,-13.698630136986298,-9.375
1752810900,80.75,85,80.2,83.5,NaN,NaN,72.03931064482262,NaN,0,0,78.00771376105989,0,91.6237859166953,86.00541319897309,-15.46391752577319,-8.333333333333334
1752810960,83.4,85.5,83.1,85,NaN,NaN,74.07537958034037,NaN,0,0,78.8817495409274,0,98.95774729363306,92.14901045764731,-5.555555555555555,-2.7027027027027026
1752811020,84.7,86.45,83.65,85.4,NaN,NaN,75.00784162230634,NaN,0,0,79.69653084831148,0,100,96.86051107010947,-10.824742268041204,-5.398457583547542
1752811080,85.1,85.55,82.9,83.9,NaN,NaN,75.00784162230634,NaN,0,0,80.22196449227255,0,91.95862952086914,96.97212560483409,-26.288659793814396,-13.74663072776279
1752811140,83.85,84.8,81.85,83.7,NaN,NaN,75.00784162230634,NaN,0,0,80.65671893073848,0,72.5800377765094,88.17955576579287,-28.350515463917517,-15.580736543909344
1752811200,83.25,83.25,80.7,81.85,NaN,NaN,75.00784162230634,NaN,0,0,80.80587906439617,0,39.24670444317607,67.92845724685155,-55.42168674698807,-26.062322946175676
1752811260,81.3,82.7,80.35,80.9,NaN,NaN,75.00784162230634,NaN,0,0,80.81764418134665,0,13.954741588973596,41.92716126955303,-78.16901408450691,-31.444759206798842
