time,open,high,low,close,Call Stop Loss,Call Take Profit,Put Stop Loss,Put Take Profit,Call EMA,Put EMA,Call Up Trend,Call Down Trend,Put Up Trend,Put Down Trend,K,D,%R,%R
1751525280,226.7,227.2,223.5,224.05,NaN,NaN,NaN,NaN,229.0835682831077,NaN,NaN,236.4441768673292,NaN,NaN,18.228251691327618,27.31115028929047,-93.52941176470574,-97.17223650385598
1751525340,224.6,224.6,218.05,220.7,NaN,NaN,NaN,NaN,228.03562224771923,NaN,NaN,233.27475918059625,NaN,NaN,18.228251691327618,21.514474120670183,-81.00358422939082,-89.35742971887558
1751525400,219.95,226.8,219.9,226.8,213.192,238.8,NaN,NaN,227.88116946675433,NaN,NaN,233.27475918059625,NaN,NaN,34.49059625088714,23.64903321118079,-31.640624999999908,-64.85943775100398
1751525460,226.1,226.2,223,223.2,213.192,238.8,NaN,NaN,227.29602328341002,NaN,NaN,233.27475918059625,NaN,NaN,54.71227631516268,35.81037475245915,-59.76562500000012,-79.3172690763053
1751525520,222,224.45,221.95,224.3,213.192,238.8,NaN,NaN,226.92152037298376,NaN,NaN,233.27475918059625,NaN,NaN,81.47516577839886,56.89267944814956,-51.171874999999936,-74.89959839357428
1751525580,223.9,226.95,223.9,225.4,213.192,238.8,NaN,NaN,226.7313303263608,NaN,NaN,233.27475918059625,NaN,NaN,80.32981211064661,72.17241806806938,-38.49372384937237,-70.48192771084337
1751525640,226,230,226,228.2,213.192,238.8,NaN,NaN,226.9149140355657,NaN,NaN,233.27475918059625,NaN,NaN,92.28420246215059,84.69639345039869,-15.06276150627626,-56.43776824034341
1751525700,227.3,228.65,225.65,226.85,213.192,238.8,NaN,NaN,226.90679978112,NaN,NaN,233.27475918059625,NaN,NaN,94.84590891869095,89.15330783049605,-26.359832635983338,-62.23175965665241
1751525760,226.35,229.95,226.2,229.05,213.192,238.8,NaN,NaN,227.17469980848,NaN,NaN,233.27475918059625,NaN,NaN,95.99126258644321,94.37379132242825,-7.949790794978992,-45.13715710723187
1751525820,229.7,232.8,228.45,231.3,213.192,238.8,NaN,NaN,227.69036233242,NaN,NaN,233.27475918059625,NaN,NaN,95.99126258644321,95.60947803052579,-10.169491525423728,-33.58395989974934
1751525880,231.5,235,231,235,213.192,238.8,NaN,NaN,228.6040670408675,NaN,221.14794576412115,NaN,NaN,NaN,100,97.32750839096214,0,-15.037593984962415
1751525940,234.95,239,234.6,237.85,NaN,NaN,NaN,NaN,229.75980866075906,NaN,224.81315118770905,NaN,NaN,NaN,100,98.66375419548108,-6.7448680351906445,-5.489260143198121
1751526000,237.75,238.2,233,233.9,NaN,NaN,NaN,NaN,230.2773325781642,NaN,224.81315118770905,NaN,NaN,NaN,92.52114891686881,97.50704963895627,-29.912023460410502,-24.343675417661085
1751526060,234.15,236,232.35,233.3,NaN,NaN,NaN,NaN,230.65516600589368,NaN,224.81315118770905,NaN,NaN,NaN,83.97410211493494,92.1650836772679,-37.74834437086086,-27.20763723150354
1751526120,233.25,233.9,229.7,231.2,NaN,NaN,NaN,NaN,230.72327025515696,NaN,224.81315118770905,NaN,NaN,NaN,71.72170627726057,82.7389857696881,-58.42696629213494,-37.23150357995234
1751526180,230.6,235.75,230,235.75,NaN,NaN,NaN,NaN,231.35161147326235,NaN,224.81315118770905,NaN,NaN,NaN,72.09433484257323,75.93004774492292,-24.344569288389522,-15.513126491646787
