time,open,high,low,close,EMA,Up Trend,Down Trend,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry,SMA 21,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Weekly Pivot,Weekly BC,Weekly TC,Weekly R1,Weekly R2,Weekly R3,Weekly R4,Weekly S1,Weekly S2,Weekly S3,Weekly S4,Monthly Pivot,Monthly BC,Monthly TC,Monthly R1,Monthly R2,Monthly R3,Monthly R4,Monthly S1,Monthly S2,Monthly S3,Monthly S4,Tomorrow Pivot,Tomorrow BC,Tomorrow TC,Tomorrow R1,Tomorrow R2,Tomorrow S1,Tomorrow S2,Next Week Pivot,Next Week BC,Next Week TC,Next Week R1,Next Week R2,Next Week R3,Next Week S1,Next Week S2,Next Week S3,Next Month Pivot,Next Month BC,Next Month TC,Next Month R1,Next Month R2,Next Month R3,Next Month S1,Next Month S2,Next Month S3,Prev Day High,Prev Day Low,Prev Week High,Prev Week Low,Prev Month High,Prev Month Low,K,D,%R,%R
1752043860,25535.9,25539.1,25535,25536,25533.656589699065,25525.65852913267,NaN,NaN,NaN,25525.65852913267,NaN,0,25533.656589699065,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,57.25951231587769,68.32752847881407,-66.30434782609211,-15.782664941782379
1752043920,25535.7,25536.85,25530.7,25532.1,25533.462015986683,25525.65852913267,NaN,NaN,NaN,25525.65852913267,NaN,0,25533.462015986683,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,34.831452212105766,53.95570792354945,-87.71929824563082,-37.523452157601575
1752043980,25532.35,25536.15,25531.5,25534,25533.52926398835,25525.65852913267,NaN,NaN,NaN,25525.65852913267,NaN,0,25533.52926398835,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,23.944734806441264,38.67856644480822,-71.05263157894821,-30.623818525517716
1752044040,25534.2,25536.35,25532.9,25534.25,25533.619355989806,25525.65852913267,NaN,NaN,NaN,25525.65852913267,NaN,0,25533.619355989806,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,13.925985728379203,24.234057582308726,-66.66666666666667,-29.67863894139663
1752044100,25534.7,25541.1,25534.15,25538.5,25534.22943649108,25525.65852913267,NaN,NaN,NaN,25525.65852913267,NaN,0,25534.22943649108,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,34.883258569073156,24.251326367964523,-24.999999999991253,-13.610586011338151
1752044160,25538.15,25540.6,25537.15,25539,25534.825756929695,25525.65852913267,NaN,NaN,NaN,25525.65852913267,NaN,0,25534.825756929695,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,50.77240279102234,33.19388236282488,-20.192307692297938,-11.720226843095977
1752044220,25538.9,25540.4,25537.05,25539.45,25535.403787313484,25525.65852913267,NaN,NaN,NaN,25525.65852913267,NaN,0,25535.403787313484,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,67.17164040618103,50.94243392209216,-15.865384615366956,-10.01890359167527
1752044280,25539.35,25541,25537.65,25539.4,25535.9033138993,25526.276262702893,NaN,NaN,NaN,25526.276262702893,NaN,0,25535.9033138993,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,69.74746824634263,62.56383714784865,-16.346153846129294,-10.207939508496736
1752044340,25538.95,25540.6,25537.2,25539.3,25536.327899661886,25526.276262702893,NaN,NaN,NaN,25526.276262702893,NaN,0,25536.327899661886,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,74.77506053698276,70.5647230631688,-17.307692307688946,-10.91617933723006
1752044400,25540.35,25544.25,25538.5,25542.1,25537.04941220415,25528.162522789342,NaN,NaN,NaN,25528.162522789342,NaN,0,25537.04941220415,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,84.31486411368907,76.27913096567147,-15.867158671598308,-7.733812949645725
1752044460,25542.65,25544.2,25541.15,25542.35,25537.71198567863,25529.868770510413,NaN,NaN,NaN,25529.868770510413,NaN,0,25537.71198567863,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,94.11509676616681,84.40167380561287,-14.901960784325139,-7.063197026027332
1752044520,25543.55,25543.55,25536.4,25536.75,25537.5917374688,25529.868770510413,NaN,NaN,NaN,25529.868770510413,NaN,0,25537.5917374688,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,70.43948603212289,82.95648230399291,-66.07929515419349,-28.037383177570092
1752044580,25537.35,25539,25534.65,25537.9,25537.6302702852,25529.868770510413,NaN,NaN,NaN,25529.868770510413,NaN,0,25537.6302702852,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,45.36541719570625,69.97333333133197,-62.87128712870752,-23.738317757003905
1752044640,25538.45,25540.05,25536.3,25537.3,25537.58898649955,25529.868770510413,NaN,NaN,NaN,25529.868770510413,NaN,0,25537.58898649955,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,17.441245818998564,44.415383015609216,-72.39583333335189,-29.700854700855963
1752044700,25536.85,25540.55,25536.5,25539.8,25537.865363187106,25529.868770510413,NaN,NaN,NaN,25529.868770510413,NaN,0,25537.865363187106,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,28.923200163521226,30.576621059408666,-46.35416666668127,-19.017094017095943
1752044760,25540.5,25541.4,25537,25538.55,25537.950942788717,25529.868770510413,NaN,NaN,NaN,25529.868770510413,NaN,0,25537.950942788717,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,26.540191502729147,24.301545828416295,-59.37500000001658,-26.76056338028602
1752044820,25539.8,25542.9,25537.9,25540.9,25538.319574940127,25529.868770510413,NaN,NaN,NaN,25529.868770510413,NaN,0,25538.319574940127,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,37.131813647151525,30.865068437800616,-34.895833333323466,-24.36363636362578
1752044880,25541.45,25541.45,25536.7,25538.45,25538.335878072612,25529.868770510413,NaN,NaN,NaN,25529.868770510413,NaN,0,25538.335878072612,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,24.300021746357945,29.324008965412855,-60.41666666666825,-42.18181818181289
1752044940,25538.75,25544.2,25537.95,25542.45,25538.850143313535,25529.868770510413,NaN,NaN,NaN,25529.868770510413,NaN,0,25538.850143313535,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,36.97389909491756,32.80191149614233,-18.324607329844326,-13.284132841323757
1752045000,25543.55,25545.9,25541.8,25544.4,25539.543875399344,25529.994456213946,NaN,NaN,NaN,25529.994456213946,NaN,0,25539.543875399344,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,46.324903169634105,35.86627467030319,-13.333333333333334,-9.868421052631106
1752045060,25545.75,25545.95,25541.65,25541.65,25539.807140974426,25530.040010592555,NaN,NaN,NaN,25530.040010592555,NaN,0,25539.807140974426,25498.233333333334,25486.1,25510.36666666667,25572.316666666666,25622.13333333333,25696.216666666667,25746.033333333333,25448.416666666668,25374.333333333336,25324.51666666667,25250.433333333338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25548.05,25424.15,NaN,NaN,NaN,NaN,54.516158585436294,45.93832028332931,-38.053097345128755,-28.19672131147064
