time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,K,D,%R,%R
1752223200,88,91.2,87.5,90.6,NaN,NaN,NaN,82.73288660702131,NaN,0,0,86.16817842974399,100,95.94246228732266,-7.407407407407505,-19.028340080971716
1752223260,90.2,90.2,87.5,87.75,NaN,NaN,NaN,82.73288660702131,NaN,0,0,86.36590612602599,88.00717459634534,96.0023915321151,-42.59259259259258,-41.632653061224445
1752223320,88,88.05,76.5,78.2,NaN,NaN,NaN,NaN,91.93686184831273,0,0,85.34516786027274,54.673841263012,80.8936719531191,-88.43537414965985,-89.6024464831804
1752223380,78.45,84.45,78.45,81.95,NaN,NaN,NaN,NaN,91.93686184831273,1,0,84.92077187773864,31.10526405832268,57.92875997255999,-62.9251700680272,-64.2622950819672
1752223440,82,83.8,81.55,83.45,NaN,NaN,NaN,NaN,91.93686184831273,1,0,84.73692539302131,23.0105720009068,36.26322577408047,-52.72108843537414,-52.72108843537414
1752223500,83.45,83.6,82.1,82.65,NaN,NaN,NaN,NaN,91.93686184831273,1,0,84.47605971889365,34.64350234438991,29.586446134539766,-58.16326530612242,-58.16326530612242
1752223560,82.75,83.1,81.65,82.65,NaN,NaN,NaN,NaN,91.46777255867798,0,0,84.24780225403194,36.51167655922902,31.38858363484188,-58.16326530612242,-58.16326530612242
1752223620,82.8,83.1,81.45,82.9,NaN,NaN,NaN,NaN,90.95349530281018,0,0,84.07932697227795,35.57572926086021,35.57696938815968,-56.46258503401358,-56.46258503401358
1752223680,82.8,83,81.6,81.65,NaN,NaN,NaN,NaN,90.53064577252916,0,0,83.7756611007432,33.352286336280834,35.146564052123324,-64.96598639455779,-64.96598639455779
1752223740,81.8,83.2,81.45,83.1,NaN,NaN,NaN,NaN,90.25758119527625,0,0,83.6912034631503,35.31159913294633,34.74653824336243,-51.82481751824823,-55.10204081632658
1752223800,83.8,89.7,83.8,88.9,NaN,NaN,NaN,NaN,90.25758119527625,0,0,84.34230303025652,49.92950510711328,39.531130192113444,-6.0606060606060375,-15.646258503401338
1752223860,88.05,89.25,87.15,87.85,NaN,NaN,NaN,NaN,90.25758119527625,0,0,84.78076515147445,64.70727193805874,49.98279205937278,-16.44444444444452,-22.78911564625856
1752223920,88,89,87.35,87.6,NaN,NaN,NaN,NaN,90.25758119527625,0,0,85.13316950754015,74.63410609837122,63.09029438118108,-25.454545454545556,-24.4897959183674
1752223980,87.75,88.1,86.3,87.5,NaN,NaN,NaN,NaN,90.25758119527625,0,0,85.42902331909762,70.94168978104308,70.09435593915768,-26.6666666666667,-25.1700680272109
1752224040,87.2,87.4,86.15,87.3,NaN,NaN,NaN,NaN,90.25758119527625,0,0,85.66289540421042,74.77071606355734,73.44883731432388,-29.09090909090916,-26.53061224489799
1752224100,86.95,88.95,86.75,87.7,NaN,NaN,NaN,NaN,90.25758119527625,0,0,85.91753347868412,80.56803397014649,75.4268132715823,-24.242424242424242,-23.809523809523807
1752224160,87.2,88.5,85.25,85.25,NaN,NaN,NaN,NaN,90.25758119527625,0,0,85.8340917938486,70.22502446087016,75.18792483152465,-53.93939393939397,-40.47619047619048
1752224220,84.85,87.05,84.85,87.05,NaN,NaN,NaN,NaN,90.25758119527625,0,0,85.98608031961753,64.59713523291941,71.79673122131202,-32.12121212121219,-28.231292517006835
1752224280,86.8,88.35,86.35,87,NaN,NaN,NaN,NaN,90.25758119527625,0,0,86.11282027966534,57.37173423737688,64.0646313103888,-45.76271186440678,-28.571428571428584
1752224340,87.2,89.7,86.85,89.4,NaN,NaN,NaN,NaN,90.25758119527625,0,0,86.52371774470717,77.81271884925373,66.59386277318333,-6.185567010309209,-12.244897959183652
1752224400,88.75,90.7,88.7,89.6,NaN,NaN,NaN,NaN,90.25758119527625,0,0,86.90825302661878,88.75766087817436,74.64737132160165,-18.80341880341892,-10.884353741496655
1752224460,89.5,89.85,86.6,87.35,NaN,NaN,NaN,NaN,90.25758119527625,0,0,86.96347139829143,86.2279805596068,84.26612009567829,-57.264957264957324,-26.190476190476243
1752224520,87.25,87.25,83,83.6,NaN,NaN,NaN,NaN,90.25758119527625,0,0,86.543037473505,52.89464722627346,75.96009622135153,-92.2077922077923,-51.7006802721089
1752224580,83.95,85.8,83.1,85.55,NaN,NaN,NaN,NaN,90.25758119527625,0,0,86.41890778931688,30.008101742218244,56.3769098426995,-66.88311688311693,-38.43537414965989
1752224640,85.75,85.75,83.85,84.15,NaN,NaN,NaN,NaN,90.25758119527625,0,0,86.13529431565226,14.300129200371323,32.400959389621,-85.064935064935,-47.95918367346936
1752224700,84.15,84.6,83.05,83.95,NaN,NaN,NaN,NaN,90.25758119527625,0,0,85.86213252619572,17.209370933578413,20.505867292055992,-87.66233766233763,-49.319727891156454
1752224760,83.85,84.9,83.2,84.4,NaN,NaN,NaN,NaN,90.25758119527625,0,0,85.67936596042125,12.349200737700043,14.61956695721659,-81.81818181818176,-46.25850340136052
1752224820,84.4,85.6,84.05,85.4,NaN,NaN,NaN,NaN,90.25758119527625,0,0,85.64444521536859,20.037586578116528,16.53205274979832,-68.83116883116878,-39.455782312925145
1752224880,85,85.3,83.35,83.75,NaN,NaN,NaN,NaN,90.25758119527625,0,0,85.40763956344752,19.738668568189997,17.37515196133552,-90.25974025974025,-48.94366197183099
1752224940,83.85,83.85,80.65,81.9,NaN,NaN,NaN,NaN,89.52448294656757,0,0,84.96918461801658,14.152050914790273,17.976102020365595,-86.41304347826085,-61.97183098591547
1752225000,81.85,82.55,80.8,81.75,NaN,NaN,NaN,NaN,88.74703465191081,0,0,84.56678654076451,2.6103237232805583,12.16701440208694,-83.3333333333334,-73.06122448979593
1752225060,81.7,82.3,81.35,82,NaN,NaN,NaN,NaN,88.47483118671973,0,0,84.24593822316895,1.4944054827251743,6.085593373598665,-73.78640776699037,-86.56716417910452
1752225120,82.05,82.55,81.05,81.05,NaN,NaN,NaN,NaN,88.23484806804775,0,0,83.84644594527283,1.4944054827251743,1.8663782295769658,-92.1568627450982,-96.01990049751252
1752225180,80.85,81.9,79.65,81.9,NaN,NaN,NaN,NaN,87.241363261243,0,0,83.60314020211374,6.5380274525430835,3.1756128059978104,-62.18487394957976,-79.63800904977376
1752225240,81.75,82.25,80.7,81,NaN,NaN,NaN,NaN,87.241363261243,0,0,83.27774767684951,6.877469055405079,4.969967330224446,-77.31092436974795,-87.7828054298643
1752225300,80.95,80.95,78.55,78.85,NaN,NaN,NaN,NaN,86.14125424160682,0,0,82.72427921724332,6.877469055405079,6.76432185445108,-95.74468085106386,-97.53086419753089
