time,open,high,low,close,Fixed Stop Loss,Trailing Stop,Up Trend Current,Down Trend Current,Entry,SMA 21,%R,%R,K,D
1752214740,184.6,184.9,183,184.1,178.31499999999997,NaN,NaN,193.45249950537442,0,185.07622690173685,-57.22543352601172,-80.31914893617027,53.376866473293944,49.64199003994192
1752214800,184.6,185.5,183.4,183.65,178.31499999999997,NaN,NaN,193.45249950537442,0,184.89794853901975,-62.42774566473991,-82.71276595744679,55.89510368913784,51.264605253987405
1752214860,184.6,185.15,183.5,183.6,178.31499999999997,NaN,NaN,193.45249950537442,0,184.7357049716423,-63.00578034682096,-82.97872340425538,49.49088998897282,52.92095338380154
1752214920,183.4,183.4,179.3,179.3,178.31499999999997,NaN,NaN,191.59513572774443,0,184.056241850187,-100,-100,31.400077245316364,45.595356974475685
1752214980,180,181.55,177.5,179.5,NaN,NaN,NaN,189.96062215497,0,183.48671161891363,-81.3953488372093,-90.78341013824884,16.71538638535304,32.535451206547414
1752215040,179.5,181.4,177.9,180,NaN,NaN,NaN,189.96062215497,0,183.05087266654942,-74.2268041237113,-88.47926267281106,5.3088405056334595,17.808101378767635
1752215100,180.3,182,180,181,NaN,NaN,NaN,189.96062215497,0,182.79451358323075,-56.25,-83.87096774193547,15.592090063947367,12.5387723183113
1752215160,181.25,184,181.2,182.45,NaN,NaN,NaN,189.96062215497,1,182.7514493853269,-38.12500000000014,-73.94736842105269,33.39842464209025,18.099785070557036
1752215220,183,187.45,183,187.45,173.3275,NaN,NaN,189.96062215497,0,183.33876821216103,0,-28.92857142857151,62.57110635396632,37.187207020001324
1752215280,186.9,188.4,183.6,184,173.3275,NaN,NaN,189.96062215497,0,183.4214221856409,-40.36697247706425,-51.851851851851855,72.29396178172725,56.08783092592795
1752215340,184.6,189.45,184.6,188.4,173.3275,NaN,NaN,189.96062215497,0,184.04374441243579,-8.786610878660953,-19.259259259259217,86.67277165274147,73.84594659614503
1752215400,188,189.8,186.95,188.4,173.3275,NaN,NaN,189.96062215497,0,184.5882763608813,-11.382113821138248,-19.259259259259217,86.67277165274146,81.87983502907007
1752215460,189.45,197.4,188.4,192,NaN,177.404,180.22752950133588,NaN,0,185.51474181577115,-27.13567839195982,-27.13567839195982,99.99999999999996,91.11518110182764
1752215520,191.8,194.5,191.8,193.9,NaN,179.304,180.9347765512023,NaN,0,186.56289908879975,-17.94871794871795,-17.58793969849246,99.99999999999999,95.5575905509138
1752215580,194.55,196.8,194.2,195.55,NaN,180.954,183.63629889608205,NaN,0,187.6862867026998,-10.63218390804594,-9.29648241206027,100,100
1752215640,195,208.95,195,197.1,NaN,182.504,187.11266900647385,NaN,0,188.86300086486233,-42.70270270270269,-37.67885532591415,100,100
1752215700,196.3,196.65,190.45,190.75,NaN,182.504,187.11266900647385,NaN,0,189.09887575675452,-70.1348747591522,-57.86963434022256,84.73764602599952,94.9125486753332
1752215760,191.25,191.25,185.7,186.5,NaN,182.504,NaN,203.97398810475616,0,188.7740162871602,-88.56015779092701,-71.38314785373609,61.216686514005964,81.98477751333517
