time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Prev Day High,Prev Day Low,Up Trend,Down Trend,K,D,%R,%R.1,datetime
1752813180,25021.1,25027.25,25021.1,25025.9,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25043.20330816179,20.97130866404313,29.70041717112805,-73.36769759450038,-88.6029411764706,2025-07-18 10:03:00
1752813240,25026.2,25029.4,25025.3,25027.2,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25043.20330816179,28.9905071392029,24.535063761285414,-68.90034364261263,-86.69117647058931,2025-07-18 10:04:00
1752813300,25024.95,25027.2,25022.05,25026.3,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25043.20330816179,42.10455321471172,30.688789672652593,-71.40350877193748,-88.01470588235615,2025-07-18 10:05:00
1752813360,25025.5,25026.25,25011.35,25012.6,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25041.272747984953,30.16095419523651,33.75200484971705,-96.28528974739986,-98.2674982674983,2025-07-18 10:06:00
1752813420,25013.1,25020.75,25011.95,25019.0,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25039.215473186458,32.2459371431172,34.83714818435515,-77.26597325408284,-88.47891566264866,2025-07-18 10:07:00
1752813480,25019.4,25021.85,25017.45,25019.4,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25039.215473186458,36.98599918894742,33.13096350910038,-73.94822006471672,-85.6249999999948,2025-07-18 10:08:00
1752813540,25019.1,25020.55,25017.0,25017.0,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25039.215473186458,52.540882655001674,40.59093966235543,-74.83296213807897,-89.70856102003405,2025-07-18 10:09:00
1752813600,25017.95,25018.3,25010.25,25011.45,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25035.38662995293,45.416814662122555,44.98123216869055,-93.73368146213768,-97.40820734341092,2025-07-18 10:10:00
1752813660,25011.2,25013.85,25007.8,25013.25,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25031.64046695763,42.95049014612315,46.96939582108246,-74.7685185185177,-87.14622641509307,2025-07-18 10:11:00
1752813720,25012.75,25017.2,25006.8,25007.7,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25031.64046695763,37.12592248698736,41.83107576507769,-96.0176991150382,-97.92626728110272,2025-07-18 10:12:00
1752813780,25007.45,25012.5,25004.65,25012.3,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25030.598528235685,60.01242748415967,46.69628003909006,-66.07538802661612,-83.20526893524053,2025-07-18 10:13:00
1752813840,25011.35,25015.55,25011.05,25013.2,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25030.598528235685,76.7152823917523,57.95121078763311,-60.41666666666737,-81.22941822173566,2025-07-18 10:14:00
1752813900,25013.3,25013.3,24995.4,24996.2,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25028.7740578709,70.90789882650891,69.21186956747363,-96.97542533081528,-98.54014598540276,2025-07-18 10:15:00
1752813960,24996.35,24996.35,24977.7,24981.4,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25014.601652083813,37.57456549317558,61.7325822371456,-91.61947904869557,-94.89655172413693,2025-07-18 10:16:00
1752814020,24980.75,24982.8,24965.65,24966.55,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,25004.18898687543,4.241232159842241,37.57456549317558,-98.36065573770884,-98.93554109994344,2025-07-18 10:17:00
1752814080,24968.05,24968.75,24955.25,24959.4,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24993.01758818789,-5.921189464667502e-15,13.938599217672603,-93.41792228389929,-95.6292785676657,2025-07-18 10:18:00
1752814140,24959.85,24962.65,24953.25,24957.85,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24988.6858293691,-5.921189464667502e-15,1.4137440532807448,-92.80688037529556,-95.255286230017,2025-07-18 10:19:00
1752814200,24956.65,24957.75,24942.0,24943.05,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24982.29224643219,-5.921189464667502e-15,-4.04614613418946e-15,-98.6037234042563,-99.02957486136852,2025-07-18 10:20:00
1752814260,24944.55,24957.5,24938.15,24956.85,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24982.29224643219,18.634638332811075,6.211546110937021,-75.83979328165682,-83.12274368231299,2025-07-18 10:21:00
1752814320,24955.65,24959.7,24953.75,24956.8,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24982.29224643219,37.24808977770684,18.6275760368393,-75.90439276486002,-82.90559120073505,2025-07-18 10:22:00
1752814380,24955.55,24964.4,24952.4,24964.4,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24982.29224643219,65.26890624847476,40.383878119664224,-65.0698602794401,-75.93950504124624,2025-07-18 10:23:00
1752814440,24965.8,24965.8,24958.65,24964.45,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24982.29224643219,74.716264346075,59.07775345741887,-54.81099656357287,-75.76036866359514,2025-07-18 10:24:00
1752814500,24965.25,24967.8,24959.55,24962.2,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24982.29224643219,82.86432491093828,74.28316516849601,-46.13661814109642,-77.49181094993018,2025-07-18 10:25:00
1752814560,24962.1,24965.85,24959.6,24960.75,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24982.29224643219,80.73006434398735,79.43688453366688,-26.14379084967445,-78.84885353299124,2025-07-18 10:26:00
1752814620,24960.35,24962.0,24954.85,24958.55,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24982.29224643219,77.17276472019964,80.25571799170842,-31.197301854977,-80.4034582132583,2025-07-18 10:27:00
1752814680,24959.65,24960.0,24949.25,24951.1,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24982.29224643219,74.35445377858129,77.41909428092275,-56.323777403042016,-86.46105593309213,2025-07-18 10:28:00
1752814740,24951.25,24955.6,24950.95,24952.65,25150.266666666663,25130.858333333337,25169.675,25199.533333333333,25287.61666666667,25336.88333333333,25424.966666666667,25062.183333333334,25012.916666666668,24924.833333333336,24875.56666666667,25238.35,25101.0,,24981.392188735343,75.28013559084121,75.60245136320738,-51.096121416522536,-84.10958904109589,2025-07-18 10:29:00
