time,open,high,low,close,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily R3,Daily R4,Daily S1,Daily S2,Daily S3,Daily S4,Weekly Pivot,Weekly BC,Weekly TC,Weekly R1,Weekly R2,Weekly R3,Weekly R4,Weekly S1,Weekly S2,Weekly S3,Weekly S4,Monthly Pivot,Monthly BC,Monthly TC,Monthly R1,Monthly R2,Monthly R3,Monthly R4,Monthly S1,Monthly S2,Monthly S3,Monthly S4,Tomorrow Pivot,Tomorrow BC,Tomorrow TC,Tomorrow R1,Tomorrow R2,Tomorrow S1,Tomorrow S2,Next Week Pivot,Next Week BC,Next Week TC,Next Week R1,Next Week R2,Next Week R3,Next Week S1,Next Week S2,Next Week S3,Next Month Pivot,Next Month BC,Next Month TC,Next Month R1,Next Month R2,Next Month R3,Next Month S1,Next Month S2,Next Month S3,Prev Day High,Prev Day Low,Prev Week High,Prev Week Low,Prev Month High,Prev Month Low,EMA,Up Trend,Down Trend,K,D,%R,%R
1750844040,46.55,47.15,45.2,45.2,155.58333333333334,140.2,170.9666666666667,247.4666666666667,308.5833333333333,400.4666666666667,461.58333333333326,94.4666666666667,2.583333333333343,-58.5333333333333,-150.41666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.7,63.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.63326522722324,15.208761394664764,-85.45454545454537,-83.09859154929575
1750844100,45.4,47.35,45.2,47.35,155.58333333333334,140.2,170.9666666666667,247.4666666666667,308.5833333333333,400.4666666666667,461.58333333333326,94.4666666666667,2.583333333333343,-58.5333333333333,-150.41666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.7,63.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.285192944734586,17.92909977648827,-46.36363636363631,-52.8169014084507
1750844160,47.35,49.3,47,49.05,155.58333333333334,140.2,170.9666666666667,247.4666666666667,308.5833333333333,400.4666666666667,461.58333333333326,94.4666666666667,2.583333333333343,-58.5333333333333,-150.41666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.7,63.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.59964595799122,24.839368043316345,-15.45454545454548,-28.873239436619773
1750844220,49.2,50.7,49.2,50.35,155.58333333333334,140.2,170.9666666666667,247.4666666666667,308.5833333333333,400.4666666666667,461.58333333333326,94.4666666666667,2.583333333333343,-58.5333333333333,-150.41666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.7,63.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.93297929132456,46.27260606468345,-5.555555555555574,-10.563380281690138
1750844280,50,50.95,49.6,50.65,155.58333333333334,140.2,170.9666666666667,247.4666666666667,308.5833333333333,400.4666666666667,461.58333333333326,94.4666666666667,2.583333333333343,-58.5333333333333,-150.41666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.7,63.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.72578303816623,69.752802762494,-4.580152671755787,-6.338028169014123
1750844340,50.5,53.85,50.25,52.4,155.58333333333334,140.2,170.9666666666667,247.4666666666667,308.5833333333333,400.4666666666667,461.58333333333326,94.4666666666667,2.583333333333343,-58.5333333333333,-150.41666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.7,63.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.00000000000001,89.21958744316358,-16.763005780346855,-14.720812182741144
1750844400,53.25,54,50.9,51.45,155.58333333333334,140.2,170.9666666666667,247.4666666666667,308.5833333333333,400.4666666666667,461.58333333333326,94.4666666666667,2.583333333333343,-58.5333333333333,-150.41666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.7,63.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.16323922420652,95.62967408745759,-28.977272727272705,-25.49999999999997
1750844460,51.5,52.5,51.2,51.65,155.58333333333334,140.2,170.9666666666667,247.4666666666667,308.5833333333333,400.4666666666667,461.58333333333326,94.4666666666667,2.583333333333343,-58.5333333333333,-150.41666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.7,63.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.16908836457209,94.44410919625953,-26.704545454545478,-23.500000000000014
1750844520,52.1,53,51.95,52.45,155.58333333333334,140.2,170.9666666666667,247.4666666666667,308.5833333333333,400.4666666666667,461.58333333333326,94.4666666666667,2.583333333333343,-58.5333333333333,-150.41666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.7,63.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.57931094107757,90.30387950995207,-17.61363636363634,-16.1458333333333
1750844580,51.95,53,50.9,51.05,155.58333333333334,140.2,170.9666666666667,247.4666666666667,308.5833333333333,400.4666666666667,461.58333333333326,94.4666666666667,2.583333333333343,-58.5333333333333,-150.41666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.7,63.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.7617682873417,86.5033891976638,-33.522727272727316,-30.729166666666693
