datetime,open,high,low,close,Call
2025-07-15 13:03:00,169.75,172.1,169.75,172.0,0
2025-07-15 13:04:00,171.9,172.85,170.4,172.85,0
2025-07-15 13:05:00,172.7,173.5,167.25,167.3,0
2025-07-15 13:06:00,167.35,168.7,166.95,168.4,0
2025-07-15 13:07:00,168.5,169.0,165.45,166.1,0
2025-07-15 13:08:00,166.5,166.9,164.2,164.85,0
2025-07-15 13:09:00,164.75,166.85,164.75,165.95,0
2025-07-15 13:10:00,166.0,166.0,162.2,162.2,0
2025-07-15 13:11:00,162.55,163.0,159.5,160.85,0
2025-07-15 13:12:00,161.0,163.75,159.45,162.25,0
2025-07-15 13:13:00,162.4,162.5,159.8,159.8,0
2025-07-15 13:14:00,159.95,160.95,157.25,157.5,0
2025-07-15 13:15:00,157.05,159.75,157.05,158.9,0
2025-07-15 13:16:00,158.7,158.7,153.95,154.85,0
2025-07-15 13:17:00,155.0,155.8,152.45,152.65,0
2025-07-15 13:18:00,152.6,154.8,152.15,152.15,0
2025-07-15 13:19:00,151.15,152.5,150.15,151.5,0
2025-07-15 13:20:00,150.45,152.4,149.35,152.3,0
2025-07-15 13:21:00,152.3,154.9,152.3,153.25,0
2025-07-15 13:22:00,153.5,158.85,153.5,158.2,0
2025-07-15 13:23:00,157.75,157.95,155.0,155.0,0
2025-07-15 13:24:00,154.95,155.0,151.7,152.6,0
2025-07-15 13:25:00,152.8,153.7,146.45,147.75,0
2025-07-15 13:26:00,147.8,148.5,144.3,144.3,0
2025-07-15 13:27:00,144.4,146.6,143.95,145.6,0
2025-07-15 13:28:00,145.6,146.3,141.35,141.35,0
2025-07-15 13:29:00,141.55,143.95,140.1,142.65,0
2025-07-15 13:30:00,142.5,145.7,142.0,145.05,0
2025-07-15 13:31:00,145.05,145.05,136.95,139.2,0
2025-07-15 13:32:00,139.8,140.0,136.3,137.9,0
2025-07-15 13:33:00,137.35,139.0,135.9,138.85,0
2025-07-15 13:34:00,139.5,139.5,134.6,136.5,0
2025-07-15 13:35:00,136.65,142.2,135.1,142.2,0
2025-07-15 13:36:00,142.0,142.15,138.15,138.15,0
2025-07-15 13:37:00,138.75,138.75,136.15,136.15,0
2025-07-15 13:38:00,136.4,136.65,133.45,135.5,0
2025-07-15 13:39:00,135.4,140.45,135.4,139.7,0
2025-07-15 13:40:00,139.5,144.5,138.75,144.0,0
2025-07-15 13:41:00,143.55,148.05,143.15,144.75,0
2025-07-15 13:42:00,144.85,145.2,138.8,141.0,0
2025-07-15 13:43:00,140.8,141.45,139.55,141.3,0
2025-07-15 13:44:00,141.4,142.3,140.15,140.6,0
2025-07-15 13:45:00,141.3,145.5,140.6,145.5,0
2025-07-15 13:46:00,144.75,145.3,142.85,143.75,0
2025-07-15 13:47:00,145.15,145.6,144.0,144.45,0
2025-07-15 13:48:00,144.1,148.4,144.1,148.4,0
2025-07-15 13:49:00,148.25,148.25,144.85,145.85,0
2025-07-15 13:50:00,145.5,148.3,145.5,146.6,0
2025-07-15 13:51:00,146.15,146.4,144.7,145.45,0
2025-07-15 13:52:00,145.65,146.0,142.25,142.5,0
2025-07-15 13:53:00,143.0,144.4,142.2,144.4,0
2025-07-15 13:54:00,144.7,149.25,144.7,148.55,0
2025-07-15 13:55:00,148.4,148.65,146.65,147.3,0
2025-07-15 13:56:00,147.7,149.4,146.05,148.85,0
2025-07-15 13:57:00,149.2,149.3,144.0,144.0,0
2025-07-15 13:58:00,144.2,145.8,143.1,145.8,0
2025-07-15 13:59:00,145.35,146.05,143.3,146.05,0
2025-07-15 14:00:00,145.65,145.8,139.4,139.85,0
2025-07-15 14:01:00,140.5,141.8,139.55,141.8,0
2025-07-15 14:02:00,142.6,143.8,137.6,139.85,0
2025-07-15 14:03:00,139.9,139.9,137.25,138.4,0
2025-07-15 14:04:00,137.9,138.5,135.6,136.85,0
2025-07-15 14:05:00,136.85,137.85,135.4,137.05,0
2025-07-15 14:06:00,136.95,140.3,134.55,138.8,0
2025-07-15 14:07:00,138.7,138.7,127.25,127.7,0
2025-07-15 14:08:00,128.05,134.75,128.05,134.1,0
2025-07-15 14:09:00,134.4,135.0,133.35,134.0,0
2025-07-15 14:10:00,133.7,137.0,133.1,136.95,0
2025-07-15 14:11:00,137.65,140.6,137.4,140.2,0
2025-07-15 14:12:00,140.0,142.8,139.65,141.45,0
2025-07-15 14:13:00,141.25,141.25,139.0,140.45,0
2025-07-15 14:14:00,140.25,141.15,139.65,140.85,0
2025-07-15 14:15:00,140.6,141.55,139.55,140.4,0
2025-07-15 14:16:00,140.35,144.7,140.35,144.7,0
2025-07-15 14:17:00,143.4,145.0,142.7,144.4,0
2025-07-15 14:18:00,144.0,144.25,142.8,143.55,0
2025-07-15 14:19:00,144.5,145.35,142.0,143.5,0
2025-07-15 14:20:00,144.1,144.65,141.4,142.0,0
2025-07-15 14:21:00,142.1,142.75,140.8,141.0,0
2025-07-15 14:22:00,139.95,139.95,136.55,137.45,0
2025-07-15 14:23:00,137.2,137.45,134.15,134.2,0
2025-07-15 14:24:00,134.0,134.55,132.0,133.6,0
2025-07-15 14:25:00,134.3,136.5,133.6,135.8,0
2025-07-15 14:26:00,135.95,137.75,135.9,136.05,0
2025-07-15 14:27:00,136.25,138.5,135.3,138.05,0
2025-07-15 14:28:00,138.05,138.2,133.7,133.7,0
2025-07-15 14:29:00,134.55,136.25,134.2,136.0,0
2025-07-15 14:30:00,136.2,140.45,136.2,140.45,0
2025-07-15 14:31:00,140.8,145.0,140.6,144.5,0
2025-07-15 14:32:00,144.65,146.45,143.1,145.05,0
2025-07-15 14:33:00,144.4,147.2,143.6,145.7,0
2025-07-15 14:34:00,146.15,146.55,145.2,145.45,0
2025-07-15 14:35:00,145.55,146.9,144.3,144.5,0
2025-07-15 14:36:00,144.3,144.3,137.35,138.65,0
2025-07-15 14:37:00,139.7,139.7,129.05,129.05,0
2025-07-15 14:38:00,127.9,137.35,127.9,135.7,0
2025-07-15 14:39:00,135.7,136.1,133.85,134.95,0
2025-07-15 14:40:00,135.9,136.65,134.6,136.6,0
2025-07-15 14:41:00,136.55,139.65,136.55,138.7,0
2025-07-15 14:42:00,138.5,139.2,136.9,136.9,0
2025-07-15 14:43:00,137.4,138.65,136.9,138.0,0
2025-07-15 14:44:00,138.45,139.3,137.35,138.25,0
2025-07-15 14:45:00,138.45,138.45,133.25,133.45,0
2025-07-15 14:46:00,133.05,133.7,126.95,130.35,0
2025-07-15 14:47:00,130.3,132.9,128.3,132.8,0
2025-07-15 14:48:00,132.8,133.75,131.05,131.05,0
2025-07-15 14:49:00,130.8,133.2,130.8,132.9,0
2025-07-15 14:50:00,132.7,132.9,131.4,132.6,0
2025-07-15 14:51:00,132.3,132.8,128.55,129.3,0
2025-07-15 14:52:00,129.45,129.45,125.3,127.8,0
2025-07-15 14:53:00,126.7,129.35,123.35,123.35,0
2025-07-15 14:54:00,123.75,130.3,123.75,129.45,0
2025-07-15 14:55:00,129.5,129.5,126.3,127.7,0
2025-07-15 14:56:00,126.7,126.7,122.2,124.5,0
2025-07-15 14:57:00,124.5,131.55,124.0,126.65,0
2025-07-15 14:58:00,126.05,129.0,126.05,126.75,0
2025-07-15 14:59:00,126.75,128.9,125.45,128.9,0
2025-07-15 15:00:00,128.45,136.0,128.45,128.85,0
2025-07-15 15:01:00,127.2,130.5,127.2,130.15,0
2025-07-15 15:02:00,130.3,137.25,130.3,136.35,0
2025-07-15 15:03:00,135.65,137.0,134.05,134.45,0
2025-07-15 15:04:00,134.4,139.1,134.4,138.0,0
2025-07-15 15:05:00,138.6,141.5,138.5,140.55,0
2025-07-15 15:06:00,141.35,146.9,140.85,146.9,0
2025-07-15 15:07:00,146.8,148.25,143.9,144.0,0
2025-07-15 15:08:00,143.95,148.55,142.1,148.5,0
2025-07-15 15:09:00,149.15,150.5,145.45,149.3,0
2025-07-15 15:10:00,150.7,152.25,148.35,148.5,0
2025-07-15 15:11:00,148.9,149.05,146.4,148.2,0
2025-07-15 15:12:00,149.0,154.4,148.85,153.1,0
2025-07-15 15:13:00,152.9,154.8,150.2,152.6,0
